CurrPricePershare,ActualInvestedAmount,VirtualInvestedAmount,CurrentPortfolioVAlue,tax,profit_loss,PAT 
461, 1811975, 4017043.75, 6903475, 577286.25, 5091500, 4514213.75
462, 1811975, 4017043.75, 6918450, 580281.25, 5106475, 4526193.75
463, 1811975, 4017043.75, 6933425, 583276.25, 5121450, 4538173.75
464, 1811975, 4017043.75, 6948400, 586271.25, 5136425, 4550153.75
465, 1811975, 4017043.75, 6963375, 589266.25, 5151400, 4562133.75
466, 1811975, 4017043.75, 6978350, 592261.25, 5166375, 4574113.75
467, 1811975, 4017043.75, 6993325, 595256.25, 5181350, 4586093.75
468, 1811975, 4017043.75, 7008300, 598251.25, 5196325, 4598073.75
469, 1811975, 4017043.75, 7023275, 601246.25, 5211300, 4610053.75
470, 1811975, 4017043.75, 7038250, 604241.25, 5226275, 4622033.75
471, 1811975, 4017043.75, 7053225, 607236.25, 5241250, 4634013.75
472, 1811975, 4017043.75, 7068200, 610231.25, 5256225, 4645993.75
473, 1811975, 4017043.75, 7083175, 613226.25, 5271200, 4657973.75
474, 1811975, 4017043.75, 7098150, 616221.25, 5286175, 4669953.75
475, 1811975, 4017043.75, 7113125, 619216.25, 5301150, 4681933.75
476, 1811975, 4017043.75, 7128100, 622211.25, 5316125, 4693913.75
477, 1811975, 4017043.75, 7143075, 625206.25, 5331100, 4705893.75
478, 1811975, 4017043.75, 7158050, 628201.25, 5346075, 4717873.75
479, 1811975, 4017043.75, 7173025, 631196.25, 5361050, 4729853.75
480, 1811975, 4017043.75, 7188000, 634191.25, 5376025, 4741833.75
481, 1811975, 4017043.75, 7202975, 637186.25, 5391000, 4753813.75
482, 1811975, 4017043.75, 7217950, 640181.25, 5405975, 4765793.75
483, 1811975, 4017043.75, 7232925, 643176.25, 5420950, 4777773.75
484, 1811975, 4017043.75, 7247900, 646171.25, 5435925, 4789753.75
485, 1811975, 4017043.75, 7262875, 649166.25, 5450900, 4801733.75
486, 1811975, 4017043.75, 7277850, 652161.25, 5465875, 4813713.75
487, 1811975, 4017043.75, 7292825, 655156.25, 5480850, 4825693.75
488, 1811975, 4017043.75, 7307800, 658151.25, 5495825, 4837673.75
489, 1811975, 4017043.75, 7322775, 661146.25, 5510800, 4849653.75
490, 1811975, 4017043.75, 7337750, 664141.25, 5525775, 4861633.75
491, 1811975, 4017043.75, 7352725, 667136.25, 5540750, 4873613.75
492, 1811975, 4017043.75, 7367700, 670131.25, 5555725, 4885593.75
493, 1811975, 4017043.75, 7382675, 673126.25, 5570700, 4897573.75
494, 1811975, 4017043.75, 7397650, 676121.25, 5585675, 4909553.75
495, 1811975, 4017043.75, 7412625, 679116.25, 5600650, 4921533.75
496, 1811975, 4017043.75, 7427600, 682111.25, 5615625, 4933513.75
497, 1811975, 4017043.75, 7442575, 685106.25, 5630600, 4945493.75
498, 1811975, 4017043.75, 7457550, 688101.25, 5645575, 4957473.75
499, 1811975, 4017043.75, 7472525, 691096.25, 5660550, 4969453.75
500, 1811975, 4017043.75, 7487500, 694091.25, 5675525, 4981433.75
501, 1811975, 4017043.75, 7502475, 697086.25, 5690500, 4993413.75
502, 1811975, 4017043.75, 7517450, 700081.25, 5705475, 5005393.75
503, 1811975, 4017043.75, 7532425, 703076.25, 5720450, 5017373.75
504, 1811975, 4017043.75, 7547400, 706071.25, 5735425, 5029353.75
505, 1811975, 4017043.75, 7562375, 709066.25, 5750400, 5041333.75
506, 1811975, 4017043.75, 7577350, 712061.25, 5765375, 5053313.75
507, 1811975, 4017043.75, 7592325, 715056.25, 5780350, 5065293.75
508, 1811975, 4017043.75, 7607300, 718051.25, 5795325, 5077273.75
509, 1811975, 4017043.75, 7622275, 721046.25, 5810300, 5089253.75
510, 1811975, 4017043.75, 7637250, 724041.25, 5825275, 5101233.75
511, 1811975, 4017043.75, 7652225, 727036.25, 5840250, 5113213.75
512, 1811975, 4017043.75, 7667200, 730031.25, 5855225, 5125193.75
513, 1811975, 4017043.75, 7682175, 733026.25, 5870200, 5137173.75
514, 1811975, 4017043.75, 7697150, 736021.25, 5885175, 5149153.75
515, 1811975, 4017043.75, 7712125, 739016.25, 5900150, 5161133.75
516, 1811975, 4017043.75, 7727100, 742011.25, 5915125, 5173113.75
517, 1811975, 4017043.75, 7742075, 745006.25, 5930100, 5185093.75
518, 1811975, 4017043.75, 7757050, 748001.25, 5945075, 5197073.75
519, 1811975, 4017043.75, 7772025, 750996.25, 5960050, 5209053.75
520, 1811975, 4017043.75, 7787000, 753991.25, 5975025, 5221033.75
521, 1811975, 4017043.75, 7801975, 756986.25, 5990000, 5233013.75
522, 1811975, 4017043.75, 7816950, 759981.25, 6004975, 5244993.75
523, 1811975, 4017043.75, 7831925, 762976.25, 6019950, 5256973.75
524, 1811975, 4017043.75, 7846900, 765971.25, 6034925, 5268953.75
